year,epsb_id,school_name,school_type,grades,latitude,longitude,sector,epsb_ward
2021,573.0,John D. Bracco,JR,Gr 7-9,53.6035209984,-113.392101802,Northeast,EPSB WARD B
2021,543.0,Westminster,JR,Gr 7-9,53.5465348617,-113.558899348,Northwest,EPSB WARD C
2021,263.0,Crawford Plains,EL,K to Gr 6,53.441031572,-113.405590535,Southeast 1,EPSB WARD I
2021,572.0,Mary Butterworth,JR,Gr 7-9,53.6241051474,-113.507259438,North,EPSB WARD A
2021,925.0,Kim Hung,EJ,K to Gr 9,53.5025956363,-113.683118453,West,EPSB WARD E
2021,544.0,Westmount,JR,Gr 7-9,53.5596829362,-113.546884289,Central,EPSB WARD C
2021,241.0,Steinhauer,EL,K to Gr 6,53.464662645,-113.506345555,Southwest 1,EPSB WARD F
2021,459.0,Elizabeth Finch,EJ,K to Gr 9,53.6207134706,-113.559702863,North,EPSB WARD A
2021,265.0,Weinlos,EL,K to Gr 6,53.4601109262,-113.416300983,Southeast 1,EPSB WARD I
2021,54.0,Strathcona,SR,Gr 10-12,53.5087262359,-113.499579271,South Central,EPSB WARD F
2021,214.0,John Barnett,EL,K to Gr 6,53.6100761844,-113.449833275,North,EPSB WARD B
2021,924.0,Constable Daniel Woodall,EL,K to Gr 6,53.4395404605,-113.617297869,Southwest 2,EPSB WARD H
2021,253.0,Bannerman,EL,K to Gr 6,53.605029997,-113.378714671,Northeast,EPSB WARD B
2021,804.0,Garth Worthington,EJ,K to Gr 9,-113.564141781,53.4035362082,Southwest 2,EPSB WARD H
2021,216.0,Thorncliffe,EL,K to Gr 6,53.5159861129,-113.622980683,Northwest,EPSB WARD C
2021,224.0,Lee Ridge,EL,K to Gr 6,53.471253168,-113.444665833,Southeast 1,EPSB WARD G
2021,513.0,Highlands,EJ,K to Gr 9,53.569510288,-113.435362821,Central,EPSB WARD D
2021,950.0,Donald R. Getty,EJ,K to Gr 9,53.4024612625,-113.585170769,Southwest 2,EPSB WARD H
2021,460.0,Esther Starkman,EJ,K to Gr 9,53.446247509,-113.573908358,Southwest 1,EPSB WARD H
2021,179.0,Westglen,EL,K to Gr 6,53.5547222385,-113.541641814,Central,EPSB WARD C
2021,534.0,Londonderry,JR,Gr 7-9,53.6060675751,-113.449869707,North,EPSB WARD B
2021,567.0,Horse Hill,EL,K to Gr 6,53.6567602668,-113.343731001,Northeast,EPSB WARD B
2021,229.0,Overlanders,EL,K to Gr 6,53.5813067499,-113.389175599,Northeast,EPSB WARD B
2021,546.0,Kenilworth,JR,Gr 7-9,53.5238890944,-113.435642378,South Central,EPSB WARD G
2021,195.0,McKee,EL,K to Gr 6,53.4876862593,-113.508830674,South Central,EPSB WARD F
2021,518.0,Laurier Heights,EJ,K to Gr 9,53.5169286277,-113.566229312,Northwest,EPSB WARD E
2021,207.0,James Gibbons,EL,K to Gr 6,53.5226232835,-113.584597449,Northwest,EPSB WARD E
