category,facility_type,facility_name,address,latitude,longitude,website
Sports and Recreation Facilities,Tennis Court,Kinsmen Tennis Court,9100 Walterdale Road,53.52620173644,-113.50568878784,https://www.edmonton.ca/tenniscourts
Sports and Recreation Facilities,Recreation Centre,Northgate Lions Seniors Recreation Centre,7524 139 Avenue,53.60260007573,-113.45795735744,https://www.edmonton.ca/northgateseniors
Parks and Playgrounds,Snowshoeing,Rundle Park,2913 113 Avenue,53.5550870351,-113.38831350133,https://www.edmonton.ca/snowshoeing
Sports and Recreation Facilities,Recreation Centre,Commonwealth Recreation Centre,11000 Stadium Road,53.55778731438,-113.47627718813,https://www.edmonton.ca/commonwealthrec
Parks and Playgrounds,River Valley Park,Dawson Park,10298 89 Street,53.55187678874,-113.47091760543,https://www.edmonton.ca/dawsonpark
Parks and Playgrounds,River Valley Park,William Hawrelak Park,9330 Groat Road,53.52720844502,-113.54756731668,https://www.edmonton.ca/hawrelakpark
Sports and Recreation Facilities,Outdoor Pool,Mill Creek Outdoor Pool,9555 84 Avenue,53.51977624979,-113.47398595715,https://www.edmonton.ca/millcreekpool
Sports and Recreation Facilities,Recreation Centre,Coronation Sports and Recreation Centre,11160 135 Street,53.56117275215,-113.56064134361,https://www.edmonton.ca/coronationreccentre
Sports and Recreation Facilities,Staffed Sports Field,Clarke Park Artificial Turf,11000 Stadium Road,53.55846751498,-113.47658023202,https://www.edmonton.ca/activities_parks_recreation/clarke-park-artificial-turf
Sports and Recreation Facilities,Tennis Court,Mill Woods Tennis Court,28 Avenue & 72 Street,53.45609525001,-113.44403744032,https://www.edmonton.ca/tenniscourts
Parks and Playgrounds,River Valley Park,Sir Wilfrid Laurier Park,13221 Buena Vista Road,53.51002894567,-113.55066025901,https://www.edmonton.ca//wilfridlaurierpark
Parks and Playgrounds,River Valley Park,Government House Park,9938 Groat Road,53.53898614779,-113.54010066137,https://www.edmonton.ca/governmenthousepark
Parks and Playgrounds,City Park,Coronation Park,11425 142 Street,53.56202881081,-113.56111090991,https://www.edmonton.ca/coronationpark
